"productkey","orderdatekey","customerkey","totalproductcost","salesamount"
217,"20220217",11950,"? 13.09","34.99"
485,"20220217",17657,"? 8.22","21.98"
490,"20220217",17657,"? 41.57","53.99"
537,"20220217",11865,"? 13.09","35.00"
485,"20220217",11865,"? 8.22","21.98"
231,"20220217",11865,"? 38.49","49.99"
376,"20220217",16232,"? 1,554.95","2443.35"
540,"20220217",16232,"? 12.19","32.60"
372,"20220217",20210,"? 1,554.95","2443.35"
214,"20220217",20210,"? 13.09","34.99"
588,"20220217",13862,"? 419.78","769.49"
214,"20220217",13862,"? 13.09","34.99"
353,"20220217",12071,"? 1,265.62","2319.99"
528,"20220217",12071,"? 1.87","4.99"
537,"20220217",12071,"? 13.09","35.00"
222,"20220217",12071,"? 13.09","34.99"
604,"20220217",21619,"? 343.65","539.99"
479,"20220217",21619,"? 3.36","8.99"
477,"20220217",21619,"? 1.87","4.99"
480,"20220217",21619,"? 0.86","2.29"
390,"20220217",19533,"? 713.08","1120.49"
222,"20220217",19533,"? 13.09","34.99"
386,"20220217",19380,"? 713.08","1120.49"
539,"20220217",19380,"? 9.35","24.99"
529,"20220217",19380,"? 1.49","3.99"
480,"20220217",19380,"? 0.86","2.29"
584,"20220217",21024,"? 343.65","539.99"
479,"20220217",21024,"? 3.36","8.99"
477,"20220217",21024,"? 1.87","4.99"
482,"20220217",21024,"? 3.36","8.99"
606,"20220217",25646,"? 343.65","539.99"
604,"20220217",21048,"? 343.65","539.99"
477,"20220217",21048,"? 1.87","4.99"
479,"20220217",21048,"? 3.36","8.99"
467,"20220217",21048,"? 9.16","24.49"
574,"20220217",25640,"? 1,481.94","2384.07"
214,"20220217",25640,"? 13.09","34.99"
225,"20220217",25640,"? 6.92","8.99"
382,"20220218",24608,"? 713.08","1120.49"
484,"20220218",11866,"? 2.97","7.95"
530,"20220218",14312,"? 1.87","4.99"
480,"20220218",14312,"? 0.86","2.29"
479,"20220218",11059,"? 3.36","8.99"
477,"20220218",11059,"? 1.87","4.99"
225,"20220218",11059,"? 6.92","8.99"
489,"20220218",11059,"? 41.57","53.99"
490,"20220218",11714,"? 41.57","53.99"
539,"20220218",29228,"? 9.35","24.99"
478,"20220218",21500,"? 3.74","9.99"
477,"20220218",21500,"? 1.87","4.99"
484,"20220218",21500,"? 2.97","7.95"
475,"20220218",19703,"? 26.18","69.99"
474,"20220218",21234,"? 26.18","69.99"
237,"20220218",21234,"? 38.49","49.99"
477,"20220218",18530,"? 1.87","4.99"
487,"20220218",18530,"? 20.57","54.99"
490,"20220218",18530,"? 41.57","53.99"
528,"20220218",15397,"? 1.87","4.99"
222,"20220218",15397,"? 13.09","34.99"
485,"20220218",18449,"? 8.22","21.98"
225,"20220218",18449,"? 6.92","8.99"
528,"20220218",16039,"? 1.87","4.99"
474,"20220218",13568,"? 26.18","69.99"
228,"20220218",13568,"? 38.49","49.99"
539,"20220218",16936,"? 9.35","24.99"
529,"20220218",16936,"? 1.49","3.99"
214,"20220218",16936,"? 13.09","34.99"
535,"20220218",19056,"? 9.35","24.99"
477,"20220218",19056,"? 1.87","4.99"
484,"20220218",19056,"? 2.97","7.95"
474,"20220218",28542,"? 26.18","69.99"
225,"20220218",28542,"? 6.92","8.99"
477,"20220218",24064,"? 1.87","4.99"
538,"20220218",27176,"? 8.04","21.49"
541,"20220218",14799,"? 10.84","28.99"
530,"20220218",14799,"? 1.87","4.99"
225,"20220218",14799,"? 6.92","8.99"
234,"20220218",14799,"? 38.49","49.99"
528,"20220218",11832,"? 1.87","4.99"
537,"20220218",11832,"? 13.09","35.00"
214,"20220218",11832,"? 13.09","34.99"
485,"20220218",13235,"? 8.22","21.98"
222,"20220218",13235,"? 13.09","34.99"
228,"20220218",12639,"? 38.49","49.99"
225,"20220218",12593,"? 6.92","8.99"
374,"20220218",14081,"? 1,554.95","2443.35"
484,"20220218",14081,"? 2.97","7.95"
374,"20220218",16235,"? 1,554.95","2443.35"
359,"20220218",11317,"? 1,251.98","2294.99"
359,"20220218",11162,"? 1,251.98","2294.99"
222,"20220218",11162,"? 13.09","34.99"
585,"20220218",28770,"? 461.44","742.35"
222,"20220218",28770,"? 13.09","34.99"
355,"20220218",11459,"? 1,265.62","2319.99"
480,"20220218",11459,"? 0.86","2.29"
604,"20220218",21649,"? 343.65","539.99"
479,"20220218",21649,"? 3.36","8.99"
477,"20220218",21649,"? 1.87","4.99"
605,"20220218",21646,"? 343.65","539.99"
538,"20220218",21646,"? 8.04","21.49"
480,"20220218",21646,"? 0.86","2.29"
584,"20220218",22287,"? 343.65","539.99"
376,"20220219",18273,"? 1,554.95","2443.35"
540,"20220219",18273,"? 12.19","32.60"
231,"20220219",18273,"? 38.49","49.99"
384,"20220219",23412,"? 713.08","1120.49"
479,"20220219",23412,"? 3.36","8.99"
477,"20220219",23412,"? 1.87","4.99"
225,"20220219",23412,"? 6.92","8.99"
353,"20220219",11492,"? 1,265.62","2319.99"
222,"20220219",11492,"? 13.09","34.99"
363,"20220219",11351,"? 1,251.98","2294.99"
363,"20220219",11353,"? 1,251.98","2294.99"
477,"20220219",11353,"? 1.87","4.99"
478,"20220219",11353,"? 3.74","9.99"
222,"20220219",11212,"? 13.09","34.99"
535,"20220219",11965,"? 9.35","24.99"
480,"20220219",11965,"? 0.86","2.29"
528,"20220219",18286,"? 1.87","4.99"
536,"20220219",18286,"? 11.22","29.99"
222,"20220219",18286,"? 13.09","34.99"
490,"20220219",17243,"? 41.57","53.99"
234,"20220219",17302,"? 38.49","49.99"
225,"20220219",17302,"? 6.92","8.99"
237,"20220219",14678,"? 38.49","49.99"
225,"20220219",18197,"? 6.92","8.99"
486,"20220219",14307,"? 59.47","159.00"
529,"20220219",29268,"? 1.49","3.99"
222,"20220219",29268,"? 13.09","34.99"
541,"20220219",27293,"? 10.84","28.99"
530,"20220219",27293,"? 1.87","4.99"
487,"20220219",27293,"? 20.57","54.99"
541,"20220219",26691,"? 10.84","28.99"
540,"20220219",25435,"? 12.19","32.60"
529,"20220219",25435,"? 1.49","3.99"
540,"20220219",25102,"? 12.19","32.60"
529,"20220219",25102,"? 1.49","3.99"
222,"20220219",25102,"? 13.09","34.99"
536,"20220219",18871,"? 11.22","29.99"
536,"20220219",17385,"? 11.22","29.99"
528,"20220219",17385,"? 1.87","4.99"
217,"20220219",17385,"? 13.09","34.99"
478,"20220219",21787,"? 3.74","9.99"
477,"20220219",21787,"? 1.87","4.99"
480,"20220219",21787,"? 0.86","2.29"
478,"20220219",12183,"? 3.74","9.99"
477,"20220219",12183,"? 1.87","4.99"
214,"20220219",12183,"? 13.09","34.99"
477,"20220219",18094,"? 1.87","4.99"
473,"20220219",18094,"? 23.75","63.50"
528,"20220219",17705,"? 1.87","4.99"
535,"20220219",17705,"? 9.35","24.99"
539,"20220219",19920,"? 9.35","24.99"
529,"20220219",19920,"? 1.49","3.99"
489,"20220219",19920,"? 41.57","53.99"
225,"20220219",19920,"? 6.92","8.99"
485,"20220219",14782,"? 8.22","21.98"
478,"20220219",14782,"? 3.74","9.99"
214,"20220219",14782,"? 13.09","34.99"
529,"20220219",23937,"? 1.49","3.99"
214,"20220219",23937,"? 13.09","34.99"
535,"20220219",20588,"? 9.35","24.99"
480,"20220219",20588,"? 0.86","2.29"
477,"20220219",22492,"? 1.87","4.99"
225,"20220219",22492,"? 6.92","8.99"
490,"20220219",22492,"? 41.57","53.99"
529,"20220219",27806,"? 1.49","3.99"
529,"20220219",26865,"? 1.49","3.99"
483,"20220219",26865,"? 44.88","120.00"
530,"20220219",16193,"? 1.87","4.99"
485,"20220219",12938,"? 8.22","21.98"
222,"20220219",12938,"? 13.09","34.99"
463,"20220219",12938,"? 9.16","24.49"
485,"20220219",12793,"? 8.22","21.98"
214,"20220219",12793,"? 13.09","34.99"
473,"20220219",12793,"? 23.75","63.50"
595,"20220219",18963,"? 308.22","564.99"
535,"20220219",18963,"? 9.35","24.99"
355,"20220219",11528,"? 1,265.62","2319.99"
485,"20220219",11528,"? 8.22","21.98"
478,"20220219",11528,"? 3.74","9.99"
477,"20220219",11528,"? 1.87","4.99"
467,"20220219",11528,"? 9.16","24.49"
361,"20220219",12113,"? 1,251.98","2294.99"
587,"20220219",14102,"? 419.78","769.49"
474,"20220219",14102,"? 26.18","69.99"
606,"20220219",21022,"? 343.65","539.99"
576,"20220219",14939,"? 1,481.94","2384.07"
214,"20220219",14939,"? 13.09","34.99"
378,"20220219",18303,"? 1,554.95","2443.35"
479,"20220219",18303,"? 3.36","8.99"
390,"20220220",16482,"? 713.08","1120.49"
222,"20220220",16482,"? 13.09","34.99"
234,"20220220",16482,"? 38.49","49.99"
363,"20220220",11493,"? 1,251.98","2294.99"
222,"20220220",11493,"? 13.09","34.99"
355,"20220220",11395,"? 1,265.62","2319.99"
478,"20220220",11395,"? 3.74","9.99"
225,"20220220",11530,"? 6.92","8.99"
535,"20220220",13962,"? 9.35","24.99"
528,"20220220",13962,"? 1.87","4.99"
480,"20220220",13962,"? 0.86","2.29"
484,"20220220",13962,"? 2.97","7.95"
539,"20220220",14857,"? 9.35","24.99"
490,"20220220",14857,"? 41.57","53.99"
536,"20220220",17254,"? 11.22","29.99"
472,"20220220",17254,"? 23.75","63.50"
536,"20220220",17070,"? 11.22","29.99"
528,"20220220",17070,"? 1.87","4.99"
214,"20220220",17070,"? 13.09","34.99"
485,"20220220",18707,"? 8.22","21.98"
222,"20220220",18707,"? 13.09","34.99"
471,"20220220",18707,"? 23.75","63.50"
528,"20220220",24899,"? 1.87","4.99"
485,"20220220",24899,"? 8.22","21.98"
478,"20220220",24899,"? 3.74","9.99"
477,"20220220",24899,"? 1.87","4.99"
471,"20220220",24899,"? 23.75","63.50"
234,"20220220",15126,"? 38.49","49.99"
225,"20220220",15126,"? 6.92","8.99"
480,"20220220",19090,"? 0.86","2.29"
225,"20220220",18259,"? 6.92","8.99"
225,"20220220",28967,"? 6.92","8.99"
539,"20220220",28998,"? 9.35","24.99"
529,"20220220",28998,"? 1.49","3.99"
538,"20220220",11738,"? 8.04","21.49"
467,"20220220",11738,"? 9.16","24.49"
529,"20220220",11738,"? 1.49","3.99"
530,"20220220",11203,"? 1.87","4.99"
530,"20220220",29000,"? 1.87","4.99"
480,"20220220",29000,"? 0.86","2.29"
530,"20220220",28003,"? 1.87","4.99"
540,"20220220",11277,"? 12.19","32.60"
529,"20220220",11277,"? 1.49","3.99"
214,"20220220",11277,"? 13.09","34.99"
529,"20220220",15526,"? 1.49","3.99"
540,"20220220",15526,"? 12.19","32.60"
214,"20220220",15526,"? 13.09","34.99"
465,"20220220",15526,"? 9.16","24.49"
529,"20220220",24776,"? 1.49","3.99"
540,"20220220",24776,"? 12.19","32.60"
487,"20220220",24776,"? 20.57","54.99"
535,"20220220",11176,"? 9.35","24.99"
540,"20220220",18758,"? 12.19","32.60"
529,"20220220",18758,"? 1.49","3.99"
540,"20220220",24317,"? 12.19","32.60"
480,"20220220",24317,"? 0.86","2.29"
478,"20220220",21720,"? 3.74","9.99"
477,"20220220",21720,"? 1.87","4.99"
477,"20220220",15498,"? 1.87","4.99"
478,"20220220",15498,"? 3.74","9.99"
214,"20220220",15498,"? 13.09","34.99"
467,"20220220",15498,"? 9.16","24.49"
477,"20220220",21159,"? 1.87","4.99"
478,"20220220",21159,"? 3.74","9.99"
222,"20220220",21159,"? 13.09","34.99"
465,"20220220",21159,"? 9.16","24.49"
474,"20220220",19778,"? 26.18","69.99"
475,"20220220",11827,"? 26.18","69.99"
490,"20220220",11827,"? 41.57","53.99"
463,"20220220",11827,"? 9.16","24.49"
225,"20220220",18346,"? 6.92","8.99"
477,"20220220",18346,"? 1.87","4.99"
528,"20220220",14921,"? 1.87","4.99"
480,"20220220",14921,"? 0.86","2.29"
528,"20220220",13698,"? 1.87","4.99"
535,"20220220",13698,"? 9.35","24.99"
480,"20220220",13698,"? 0.86","2.29"
528,"20220220",18632,"? 1.87","4.99"
535,"20220220",18632,"? 9.35","24.99"
480,"20220220",18632,"? 0.86","2.29"
535,"20220220",17640,"? 9.35","24.99"
529,"20220220",19177,"? 1.49","3.99"
217,"20220220",19177,"? 13.09","34.99"
538,"20220220",28410,"? 8.04","21.49"
529,"20220220",28410,"? 1.49","3.99"
217,"20220220",28410,"? 13.09","34.99"
541,"20220220",11566,"? 10.84","28.99"
530,"20220220",11566,"? 1.87","4.99"
480,"20220220",11566,"? 0.86","2.29"
537,"20220220",11277,"? 13.09","35.00"
528,"20220220",11277,"? 1.87","4.99"
480,"20220220",11277,"? 0.86","2.29"
485,"20220220",17036,"? 8.22","21.98"
222,"20220220",17036,"? 13.09","34.99"
225,"20220220",12602,"? 6.92","8.99"
485,"20220220",18758,"? 8.22","21.98"
478,"20220220",18758,"? 3.74","9.99"
477,"20220220",18758,"? 1.87","4.99"
485,"20220220",12979,"? 8.22","21.98"
486,"20220220",12979,"? 59.47","159.00"
583,"20220220",16887,"? 1,082.51","1700.99"
477,"20220220",16887,"? 1.87","4.99"
479,"20220220",16887,"? 3.36","8.99"
487,"20220220",16887,"? 20.57","54.99"
591,"20220220",12032,"? 308.22","564.99"
478,"20220220",12032,"? 3.74","9.99"
477,"20220220",12032,"? 1.87","4.99"
217,"20220220",12032,"? 13.09","34.99"
591,"20220220",15561,"? 308.22","564.99"
535,"20220220",15561,"? 9.35","24.99"
480,"20220220",15561,"? 0.86","2.29"
374,"20220220",20199,"? 1,554.95","2443.35"
214,"20220220",20199,"? 13.09","34.99"
463,"20220220",20199,"? 9.16","24.49"
589,"20220220",13870,"? 419.78","769.49"
476,"20220220",13870,"? 26.18","69.99"
357,"20220220",11741,"? 1,265.62","2319.99"
485,"20220220",11741,"? 8.22","21.98"
486,"20220220",11741,"? 59.47","159.00"
353,"20220220",11816,"? 1,265.62","2319.99"
222,"20220220",11816,"? 13.09","34.99"
363,"20220220",11837,"? 1,251.98","2294.99"
477,"20220220",11837,"? 1.87","4.99"
478,"20220220",11837,"? 3.74","9.99"
222,"20220220",11837,"? 13.09","34.99"
363,"20220220",11326,"? 1,251.98","2294.99"
528,"20220220",11326,"? 1.87","4.99"
537,"20220220",11326,"? 13.09","35.00"
214,"20220220",11326,"? 13.09","34.99"
363,"20220220",11297,"? 1,251.98","2294.99"
537,"20220220",11297,"? 13.09","35.00"
528,"20220220",11297,"? 1.87","4.99"
222,"20220220",11297,"? 13.09","34.99"
566,"20220220",27774,"? 461.44","742.35"
541,"20220220",27774,"? 10.84","28.99"
570,"20220220",27777,"? 461.44","742.35"
541,"20220220",27777,"? 10.84","28.99"
530,"20220220",27777,"? 1.87","4.99"
480,"20220220",27777,"? 0.86","2.29"
575,"20220220",28309,"? 1,481.94","2384.07"
214,"20220220",28309,"? 13.09","34.99"
606,"20220220",26743,"? 343.65","539.99"
477,"20220220",26743,"? 1.87","4.99"
479,"20220220",26743,"? 3.36","8.99"
214,"20220220",26743,"? 13.09","34.99"
605,"20220220",26748,"? 343.65","539.99"
217,"20220220",26748,"? 13.09","34.99"
599,"20220220",12011,"? 294.58","539.99"
477,"20220220",12011,"? 1.87","4.99"
478,"20220220",12011,"? 3.74","9.99"
473,"20220220",12011,"? 23.75","63.50"
563,"20220220",22112,"? 1,481.94","2384.07"
214,"20220220",22112,"? 13.09","34.99"
237,"20220220",22112,"? 38.49","49.99"
584,"20220220",21601,"? 343.65","539.99"
538,"20220220",21601,"? 8.04","21.49"
529,"20220220",21601,"? 1.49","3.99"
465,"20220220",21601,"? 9.16","24.49"
382,"20220220",18549,"? 713.08","1120.49"
477,"20220220",18549,"? 1.87","4.99"
479,"20220220",18549,"? 3.36","8.99"
222,"20220220",18549,"? 13.09","34.99"
382,"20220220",19408,"? 713.08","1120.49"
479,"20220220",19408,"? 3.36","8.99"
386,"20220220",22639,"? 713.08","1120.49"
217,"20220220",22639,"? 13.09","34.99"
363,"20220221",11470,"? 1,251.98","2294.99"
483,"20220221",11203,"? 44.88","120.00"
539,"20220221",14516,"? 9.35","24.99"
529,"20220221",16694,"? 1.49","3.99"
539,"20220221",16694,"? 9.35","24.99"
480,"20220221",16694,"? 0.86","2.29"
484,"20220221",16694,"? 2.97","7.95"
536,"20220221",17063,"? 11.22","29.99"
528,"20220221",17063,"? 1.87","4.99"
480,"20220221",17063,"? 0.86","2.29"
537,"20220221",19632,"? 13.09","35.00"
485,"20220221",19632,"? 8.22","21.98"
537,"20220221",21212,"? 13.09","35.00"
528,"20220221",21212,"? 1.87","4.99"
217,"20220221",21212,"? 13.09","34.99"
528,"20220221",21367,"? 1.87","4.99"
480,"20220221",21367,"? 0.86","2.29"
530,"20220221",14209,"? 1.87","4.99"
529,"20220221",25129,"? 1.49","3.99"
538,"20220221",25129,"? 8.04","21.49"
217,"20220221",25129,"? 13.09","34.99"
529,"20220221",11902,"? 1.49","3.99"
480,"20220221",11902,"? 0.86","2.29"
540,"20220221",16168,"? 12.19","32.60"
480,"20220221",16168,"? 0.86","2.29"
484,"20220221",11122,"? 2.97","7.95"
374,"20220221",23764,"? 1,554.95","2443.35"
479,"20220221",23764,"? 3.36","8.99"
477,"20220221",23764,"? 1.87","4.99"
378,"20220221",19440,"? 1,554.95","2443.35"
477,"20220221",19440,"? 1.87","4.99"
479,"20220221",19440,"? 3.36","8.99"
222,"20220221",19440,"? 13.09","34.99"
380,"20220221",22448,"? 1,554.95","2443.35"
540,"20220221",22448,"? 12.19","32.60"
529,"20220221",22448,"? 1.49","3.99"
480,"20220221",28094,"? 0.86","2.29"
529,"20220221",11178,"? 1.49","3.99"
471,"20220221",11178,"? 23.75","63.50"
217,"20220221",11178,"? 13.09","34.99"
539,"20220221",28793,"? 9.35","24.99"
539,"20220221",28810,"? 9.35","24.99"
491,"20220221",28810,"? 41.57","53.99"
480,"20220221",11226,"? 0.86","2.29"
530,"20220221",11200,"? 1.87","4.99"
463,"20220221",11200,"? 9.16","24.49"
538,"20220221",28032,"? 8.04","21.49"
529,"20220221",28032,"? 1.49","3.99"
234,"20220221",28032,"? 38.49","49.99"
529,"20220221",25378,"? 1.49","3.99"
540,"20220221",25378,"? 12.19","32.60"
480,"20220221",25378,"? 0.86","2.29"
535,"20220221",11185,"? 9.35","24.99"
528,"20220221",11185,"? 1.87","4.99"
214,"20220221",11185,"? 13.09","34.99"
237,"20220221",11185,"? 38.49","49.99"
225,"20220221",11185,"? 6.92","8.99"
529,"20220221",11331,"? 1.49","3.99"
540,"20220221",11331,"? 12.19","32.60"
463,"20220221",11331,"? 9.16","24.49"
536,"20220221",12055,"? 11.22","29.99"
528,"20220221",23711,"? 1.87","4.99"
536,"20220221",23711,"? 11.22","29.99"
478,"20220221",14655,"? 3.74","9.99"
477,"20220221",14655,"? 1.87","4.99"
487,"20220221",14655,"? 20.57","54.99"
536,"20220221",15974,"? 11.22","29.99"
528,"20220221",15974,"? 1.87","4.99"
485,"20220221",15974,"? 8.22","21.98"
214,"20220221",15974,"? 13.09","34.99"
476,"20220221",28817,"? 26.18","69.99"
475,"20220221",16846,"? 26.18","69.99"
491,"20220221",16846,"? 41.57","53.99"
477,"20220221",17137,"? 1.87","4.99"
528,"20220221",28248,"? 1.87","4.99"
477,"20220221",12077,"? 1.87","4.99"
528,"20220221",15301,"? 1.87","4.99"
480,"20220221",15301,"? 0.86","2.29"
484,"20220221",15301,"? 2.97","7.95"
528,"20220221",13696,"? 1.87","4.99"
214,"20220221",13696,"? 13.09","34.99"
225,"20220221",13696,"? 6.92","8.99"
485,"20220221",18150,"? 8.22","21.98"
487,"20220221",18150,"? 20.57","54.99"
539,"20220221",16254,"? 9.35","24.99"
535,"20220221",17738,"? 9.35","24.99"
477,"20220221",23770,"? 1.87","4.99"
529,"20220221",12509,"? 1.49","3.99"
225,"20220221",12509,"? 6.92","8.99"
529,"20220221",26037,"? 1.49","3.99"
222,"20220221",26037,"? 13.09","34.99"
477,"20220221",22795,"? 1.87","4.99"
488,"20220221",22795,"? 41.57","53.99"
225,"20220221",22795,"? 6.92","8.99"
529,"20220221",20941,"? 1.49","3.99"
480,"20220221",20941,"? 0.86","2.29"
483,"20220221",20941,"? 44.88","120.00"
530,"20220221",14840,"? 1.87","4.99"
541,"20220221",14840,"? 10.84","28.99"
530,"20220221",12646,"? 1.87","4.99"
537,"20220221",11806,"? 13.09","35.00"
528,"20220221",11806,"? 1.87","4.99"
480,"20220221",11806,"? 0.86","2.29"
537,"20220221",11883,"? 13.09","35.00"
528,"20220221",11883,"? 1.87","4.99"
480,"20220221",11883,"? 0.86","2.29"
485,"20220221",15816,"? 8.22","21.98"
222,"20220221",15816,"? 13.09","34.99"
465,"20220221",15816,"? 9.16","24.49"
485,"20220221",17387,"? 8.22","21.98"
214,"20220221",17387,"? 13.09","34.99"
361,"20220221",11983,"? 1,251.98","2294.99"
361,"20220221",11664,"? 1,251.98","2294.99"
537,"20220221",11664,"? 13.09","35.00"
528,"20220221",11664,"? 1.87","4.99"
217,"20220221",11664,"? 13.09","34.99"
353,"20220221",11160,"? 1,265.62","2319.99"
480,"20220221",11160,"? 0.86","2.29"
357,"20220221",11298,"? 1,265.62","2319.99"
477,"20220221",11298,"? 1.87","4.99"
225,"20220221",11298,"? 6.92","8.99"
478,"20220221",11298,"? 3.74","9.99"
605,"20220221",19770,"? 343.65","539.99"
479,"20220221",19770,"? 3.36","8.99"
565,"20220221",26315,"? 461.44","742.35"
530,"20220221",26315,"? 1.87","4.99"
541,"20220221",26315,"? 10.84","28.99"
566,"20220221",28674,"? 461.44","742.35"
217,"20220221",28674,"? 13.09","34.99"
231,"20220221",28674,"? 38.49","49.99"
465,"20220221",28674,"? 9.16","24.49"
359,"20220221",11460,"? 1,251.98","2294.99"
575,"20220221",24437,"? 1,481.94","2384.07"
541,"20220221",24437,"? 10.84","28.99"
530,"20220221",24437,"? 1.87","4.99"
225,"20220221",24437,"? 6.92","8.99"
584,"20220221",24778,"? 343.65","539.99"
479,"20220221",24778,"? 3.36","8.99"
484,"20220221",24778,"? 2.97","7.95"
483,"20220221",24778,"? 44.88","120.00"
382,"20220221",23858,"? 713.08","1120.49"
479,"20220221",23858,"? 3.36","8.99"
477,"20220221",23858,"? 1.87","4.99"
382,"20220221",19450,"? 713.08","1120.49"
479,"20220221",19450,"? 3.36","8.99"
477,"20220221",19450,"? 1.87","4.99"
489,"20220221",19450,"? 41.57","53.99"
606,"20220221",27956,"? 343.65","539.99"
477,"20220221",27956,"? 1.87","4.99"
479,"20220221",27956,"? 3.36","8.99"
575,"20220221",14428,"? 1,481.94","2384.07"
541,"20220221",14428,"? 10.84","28.99"
577,"20220222",11997,"? 755.15","1214.85"
222,"20220222",11997,"? 13.09","34.99"
363,"20220222",11479,"? 1,251.98","2294.99"
537,"20220222",11479,"? 13.09","35.00"
528,"20220222",11479,"? 1.87","4.99"
480,"20220222",11479,"? 0.86","2.29"
484,"20220222",11479,"? 2.97","7.95"
357,"20220222",11413,"? 1,265.62","2319.99"
485,"20220222",11413,"? 8.22","21.98"
225,"20220222",11413,"? 6.92","8.99"
535,"20220222",13624,"? 9.35","24.99"
217,"20220222",13624,"? 13.09","34.99"
485,"20220222",17484,"? 8.22","21.98"
540,"20220222",15809,"? 12.19","32.60"
467,"20220222",13670,"? 9.16","24.49"
491,"20220222",17307,"? 41.57","53.99"
225,"20220222",17307,"? 6.92","8.99"
372,"20220222",23636,"? 1,554.95","2443.35"
529,"20220222",23636,"? 1.49","3.99"
540,"20220222",23636,"? 12.19","32.60"
491,"20220222",11505,"? 41.57","53.99"
529,"20220222",11520,"? 1.49","3.99"
234,"20220222",11520,"? 38.49","49.99"
482,"20220222",11520,"? 3.36","8.99"
530,"20220222",27229,"? 1.87","4.99"
541,"20220222",27229,"? 10.84","28.99"
217,"20220222",27229,"? 13.09","34.99"
463,"20220222",27229,"? 9.16","24.49"
535,"20220222",26340,"? 9.35","24.99"
528,"20220222",26340,"? 1.87","4.99"
217,"20220222",26340,"? 13.09","34.99"
535,"20220222",26237,"? 9.35","24.99"
480,"20220222",26237,"? 0.86","2.29"
535,"20220222",25902,"? 9.35","24.99"
528,"20220222",25902,"? 1.87","4.99"
222,"20220222",25902,"? 13.09","34.99"
528,"20220222",11631,"? 1.87","4.99"
536,"20220222",11631,"? 11.22","29.99"
485,"20220222",11631,"? 8.22","21.98"
228,"20220222",11631,"? 38.49","49.99"
478,"20220222",14328,"? 3.74","9.99"
477,"20220222",14328,"? 1.87","4.99"
214,"20220222",14328,"? 13.09","34.99"
476,"20220222",19005,"? 26.18","69.99"
465,"20220222",19005,"? 9.16","24.49"
475,"20220222",28141,"? 26.18","69.99"
463,"20220222",28141,"? 9.16","24.49"
476,"20220222",18811,"? 26.18","69.99"
528,"20220222",23255,"? 1.87","4.99"
217,"20220222",23255,"? 13.09","34.99"
528,"20220222",15366,"? 1.87","4.99"
487,"20220222",15366,"? 20.57","54.99"
528,"20220222",14404,"? 1.87","4.99"
537,"20220222",16582,"? 13.09","35.00"
537,"20220222",13802,"? 13.09","35.00"
528,"20220222",13802,"? 1.87","4.99"
478,"20220222",13802,"? 3.74","9.99"
477,"20220222",13802,"? 1.87","4.99"
467,"20220222",13802,"? 9.16","24.49"
485,"20220222",14973,"? 8.22","21.98"
484,"20220222",14973,"? 2.97","7.95"
529,"20220222",14174,"? 1.49","3.99"
540,"20220222",14174,"? 12.19","32.60"
480,"20220222",14174,"? 0.86","2.29"
529,"20220222",23623,"? 1.49","3.99"
541,"20220222",23237,"? 10.84","28.99"
530,"20220222",23237,"? 1.87","4.99"
217,"20220222",23237,"? 13.09","34.99"
529,"20220222",26911,"? 1.49","3.99"
538,"20220222",28918,"? 8.04","21.49"
480,"20220222",28918,"? 0.86","2.29"
528,"20220222",15468,"? 1.87","4.99"
537,"20220222",15468,"? 13.09","35.00"
483,"20220222",15468,"? 44.88","120.00"
485,"20220222",12791,"? 8.22","21.98"
484,"20220222",12791,"? 2.97","7.95"
537,"20220222",15378,"? 13.09","35.00"
528,"20220222",15378,"? 1.87","4.99"
485,"20220222",15378,"? 8.22","21.98"
478,"20220222",15378,"? 3.74","9.99"
477,"20220222",15378,"? 1.87","4.99"
583,"20220222",20663,"? 1,082.51","1700.99"
231,"20220222",20663,"? 38.49","49.99"
600,"20220222",18973,"? 294.58","539.99"
535,"20220222",18973,"? 9.35","24.99"
480,"20220222",18973,"? 0.86","2.29"
355,"20220222",11525,"? 1,265.62","2319.99"
537,"20220222",11525,"? 13.09","35.00"
480,"20220222",11525,"? 0.86","2.29"
363,"20220222",12059,"? 1,251.98","2294.99"
485,"20220222",12059,"? 8.22","21.98"
214,"20220222",12059,"? 13.09","34.99"
571,"20220222",27770,"? 461.44","742.35"
479,"20220222",27770,"? 3.36","8.99"
569,"20220222",17648,"? 461.44","742.35"
214,"20220222",17648,"? 13.09","34.99"
568,"20220222",25759,"? 461.44","742.35"
583,"20220222",22946,"? 1,082.51","1700.99"
529,"20220222",22946,"? 1.49","3.99"
539,"20220222",22946,"? 9.35","24.99"
606,"20220222",20160,"? 343.65","539.99"
479,"20220222",20160,"? 3.36","8.99"
477,"20220222",20160,"? 1.87","4.99"
487,"20220222",20160,"? 20.57","54.99"
228,"20220222",20160,"? 38.49","49.99"
361,"20220222",11096,"? 1,251.98","2294.99"
577,"20220222",25098,"? 755.15","1214.85"
530,"20220222",25098,"? 1.87","4.99"
541,"20220222",25098,"? 10.84","28.99"
480,"20220222",25098,"? 0.86","2.29"
605,"20220222",22300,"? 343.65","539.99"
481,"20220222",22300,"? 3.36","8.99"
584,"20220222",21608,"? 343.65","539.99"
214,"20220222",21608,"? 13.09","34.99"
388,"20220222",19401,"? 713.08","1120.49"
231,"20220222",19401,"? 38.49","49.99"
390,"20220222",19407,"? 713.08","1120.49"
217,"20220222",19407,"? 13.09","34.99"
